Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,73.400002,74.800003,72.449997,73.000000,69.660393,8615103
2019-01-03,73.000000,73.000000,70.400002,70.750000,67.513329,8083906
2019-01-04,70.800003,71.849998,70.050003,71.400002,68.133591,20439249
2019-01-07,72.000000,72.949997,71.750000,72.250000,68.944702,8163279
2019-01-08,72.099998,72.250000,71.000000,71.349998,68.085876,7453809
2019-01-09,71.800003,71.900002,69.699997,70.250000,67.036201,7124203
2019-01-10,70.250000,70.500000,68.699997,68.849998,65.700249,7810193
2019-01-11,69.349998,69.349998,68.099998,68.550003,65.413971,7359392
2019-01-14,68.750000,68.750000,67.500000,67.800003,64.698288,4735962
2019-01-15,68.099998,68.800003,67.800003,68.349998,65.223114,5007754
2019-01-16,68.449997,69.599998,68.150002,68.349998,65.223114,5484091
2019-01-17,68.599998,70.400002,68.000000,70.150002,66.940781,9573414
2019-01-18,70.400002,71.150002,69.699997,70.949997,67.704178,17158253
2019-01-21,71.099998,72.250000,70.699997,70.949997,67.704178,10341030
2019-01-22,70.949997,71.550003,69.949997,71.199997,67.942734,6256263
2019-01-23,71.250000,71.599998,69.050003,69.349998,66.177368,5371992
2019-01-24,69.250000,70.099998,68.650002,69.050003,65.891098,6289323
2019-01-25,69.150002,69.500000,66.050003,66.400002,63.362339,7134722
2019-01-28,66.500000,66.750000,63.450001,63.750000,60.833565,8737901
2019-01-29,63.200001,65.349998,63.200001,64.400002,61.453827,8758306
2019-01-30,64.949997,64.949997,63.599998,63.900002,60.976704,7509058
2019-01-31,64.500000,65.000000,63.700001,64.699997,61.740097,12325961
2019-02-01,64.949997,65.699997,63.650002,64.349998,61.406113,6031620
2019-02-04,64.550003,65.300003,63.099998,64.949997,61.978661,6807730
2019-02-05,64.949997,65.150002,56.200001,58.849998,56.157730,48929404
2019-02-06,59.349998,61.150002,57.599998,60.799999,58.018520,19423985
2019-02-07,61.000000,62.500000,60.599998,62.200001,59.354477,8069603
2019-02-08,62.250000,63.250000,61.799999,62.250000,59.402187,8295240
2019-02-11,61.200001,63.250000,61.000000,62.750000,59.879314,9511824
2019-02-12,62.500000,62.599998,61.500000,61.799999,59.734325,5528900
2019-02-14,60.250000,62.799999,60.150002,62.299999,60.217613,7971447
2019-02-15,61.950001,62.000000,60.700001,61.049999,59.009392,7013360
2019-02-18,61.049999,61.599998,60.900002,61.150002,59.106052,6749057
2019-02-19,61.099998,62.799999,61.099998,62.049999,59.975967,4229035
2019-02-20,62.299999,63.150002,62.000000,62.750000,60.652569,5089826
2019-02-21,63.000000,63.099998,62.349998,62.950001,60.845890,3138802
2019-02-22,62.900002,64.150002,62.450001,63.650002,61.522491,4784997
2019-02-25,63.950001,64.800003,63.099998,64.349998,62.199089,4015688
2019-02-26,63.549999,65.599998,62.200001,64.849998,62.682381,6564549
2019-02-27,65.099998,66.000000,64.599998,64.949997,62.779030,6764048
2019-02-28,65.000000,65.150002,64.099998,64.449997,62.295746,14167452
2019-03-01,64.800003,66.599998,64.650002,66.150002,63.938927,9309674
2019-03-05,67.750000,68.000000,66.400002,67.300003,65.050491,9082342
2019-03-06,67.650002,70.150002,67.500000,69.099998,66.790321,13004838
2019-03-07,69.199997,69.250000,67.750000,68.099998,65.823746,4192540
2019-03-08,67.900002,67.900002,66.500000,67.099998,64.857178,9335968
2019-03-11,67.699997,70.599998,67.199997,70.050003,67.708572,12701280
2019-03-12,70.449997,71.349998,69.550003,69.800003,67.466927,7526822
2019-03-13,70.050003,70.199997,67.750000,68.000000,65.727089,5268092
2019-03-14,67.750000,68.650002,66.599998,67.250000,65.002159,5767075
2019-03-15,66.250000,68.050003,66.099998,67.800003,65.533775,6878337
2019-03-18,68.199997,69.150002,66.449997,67.150002,64.905502,11419966
2019-03-19,67.500000,68.449997,67.150002,68.099998,65.823746,10369254
2019-03-20,68.099998,72.400002,68.099998,68.550003,66.258713,34728590
2019-03-22,68.750000,69.349998,66.900002,67.550003,65.292137,12856428
2019-03-25,67.099998,70.099998,66.550003,69.099998,66.790321,26125367
2019-03-26,69.949997,72.699997,69.750000,71.050003,68.675148,35481702
2019-03-27,72.000000,72.750000,70.650002,71.300003,68.916786,26105730
2019-03-28,72.099998,72.400002,70.849998,71.550003,69.158432,45326931
2019-04-01,75.449997,77.849998,74.800003,75.949997,73.411354,25156745
